title,url
Toyota Kejar Pangsa Pasar di Tengah Pandemi,https://otomotif.kompas.com/read/2020/10/01/104200915/toyota-kejar-pangsa-pasar-di-tengah-pandemi
"Punya Mesin Hybrid, Honda Odyssey Facelift Segera Meluncur",https://otomotif.kompas.com/read/2020/10/01/102200315/punya-mesin-hybrid-honda-odyssey-facelift-segera-meluncur
4 Motor Retro Klasik yang Dijual di Indonesia,https://otomotif.kompas.com/read/2020/10/01/101200415/4-motor-retro-klasik-yang-dijual-di-indonesia
"Spesifikasi Honda H'Ness CB350, Gaya Klasik Sarat Fitur Canggih",https://otomotif.kompas.com/read/2020/10/01/100200415/spesifikasi-honda-h-ness-cb350-gaya-klasik-sarat-fitur-canggih
Hari Ini Jalan Margonda Raya Mulai Sosialisasi Tilang Elektronik,https://otomotif.kompas.com/read/2020/10/01/094200915/hari-ini-jalan-margonda-raya-mulai-sosialisasi-tilang-elektronik
Ada Risiko Beli Mobil Baru Jika Relaksasi Pajak Nol Persen Berlaku,https://otomotif.kompas.com/read/2020/10/01/093200615/ada-risiko-beli-mobil-baru-jika-relaksasi-pajak-nol-persen-berlaku
"Ducati Umumkan Dua Pebalap MotoGP 2021, Bagnaia dan Miller",https://otomotif.kompas.com/read/2020/10/01/092200015/ducati-umumkan-dua-pebalap-motogp-2021-bagnaia-dan-miller
3 Motor Klasik Favorit buat Bahan Modifikasi,https://otomotif.kompas.com/read/2020/10/01/091200515/3-motor-klasik-favorit-buat-bahan-modifikasi
"Honda H'Ness CB350 Resmi Meluncur, Dibanderol Rp 38 Jutaan",https://otomotif.kompas.com/read/2020/10/01/090200115/honda-hness-cb350-resmi-meluncur-dibanderol-rp-38-jutaan
Respons Suzuki Indonesia Soal Jimny Diproduksi di India,https://otomotif.kompas.com/read/2020/10/01/084200515/respons-suzuki-indonesia-soal-jimny-diproduksi-di-india
"Catat, Jangan Lakukan Ini Saat Mengemudikan Mobil Transmisi Matik",https://otomotif.kompas.com/read/2020/10/01/081200115/catat-jangan-lakukan-ini-saat-mengemudikan-mobil-transmisi-matik
